repository_name,class_count,loc_total,loc_mean,loc_median,loc_stdev,cbo_mean,cbo_median,cbo_stdev,cbo_min,cbo_max,dit_mean,dit_median,dit_stdev,dit_min,dit_max,lcom_mean,lcom_median,lcom_stdev,lcom_min,lcom_max
zfile,435,13242,30.4414,12.0,51.8366,7.092,4.0,8.1164,0.0,44.0,1.4828,1.0,1.091,1.0,5.0,9.7977,0.0,47.4374,0.0,583.0
okhttp-OkGo,361,13418,37.169,14.0,60.9432,5.6593,5.0,5.1427,0.0,28.0,1.6233,1.0,1.076,1.0,7.0,19.446,0.0,124.4989,0.0,1830.0
resilience4j,1747,65725,37.6216,21.0,56.1146,7.2261,6.0,6.474,0.0,39.0,1.4488,1.0,0.9932,1.0,15.0,17.6835,1.0,97.1005,0.0,1830.0
auto,1147,32362,28.2145,8.0,96.7692,4.1212,3.0,8.6198,0.0,232.0,1.7149,1.0,3.2515,1.0,80.0,25.9364,1.0,270.7216,0.0,7526.0
JiaoZiVideoPlayer,69,4511,65.3768,30.0,129.4346,7.2754,6.0,6.4463,0.0,35.0,2.1159,2.0,0.9782,1.0,4.0,56.6377,4.0,213.1836,0.0,1318.0
astron-agent,1466,73499,50.1357,12.0,152.8115,6.1562,4.0,8.7758,0.0,163.0,1.0641,1.0,0.2814,1.0,4.0,24.4905,0.0,293.9826,0.0,9718.0
RxPermissions,20,876,43.8,11.5,87.9878,4.65,2.0,5.6687,0.0,20.0,1.1,1.0,0.3078,1.0,2.0,10.1,0.0,33.5244,0.0,146.0
Signal-Server,1247,60421,48.4531,20.0,86.9082,9.2013,5.0,13.5509,0.0,261.0,1.4779,1.0,0.952,1.0,15.0,15.7241,0.0,104.5767,0.0,2082.0
Activiti,3428,157959,46.0791,19.0,108.074,5.7313,4.0,8.6045,0.0,296.0,1.5788,1.0,1.0013,1.0,8.0,89.4612,1.0,1567.7802,0.0,87579.0
MVPArms,149,5986,40.1745,19.0,57.1994,6.6443,5.0,5.9378,0.0,26.0,1.2819,1.0,0.5704,1.0,3.0,32.1007,3.0,147.0249,0.0,1647.0
LSPosed,315,15429,48.981,10.0,128.9685,5.0635,3.0,6.9851,0.0,46.0,1.7175,1.0,1.3799,1.0,16.0,51.7556,0.0,355.2941,0.0,4250.0
